name                            ,protocol,OI   ,OS   ,OD   ,I  ,S  ,D  ,TP     ,FP     ,UP,TN     ,FN     ,UN
1a2e433cfed7bde38732f0892fbbff27,UDP     ,8    ,1    ,8    ,8  ,1  ,8  ,3708403,6      ,0 ,1941727,0      ,25
1a504b64f82043d916cc6cffb4b0e5da,TCP     ,5859 ,5631 ,1    ,982,1  ,1  ,7706113,358580 ,18,1012856,0      ,10
1f14abf0891dd4b866da7e0621430fbd,UDP     ,270  ,9    ,1    ,270,9  ,1  ,1309203,0      ,0 ,3135266,0      ,11
20fc399b6e3d91958ab38c7acf067612,TCP     ,13079,11859,1    ,434,11 ,1  ,0      ,0      ,0 ,0      ,0      ,0
2130bfd08fae290ef08e562aefdb21b9,UDP     ,11   ,1    ,11   ,11 ,1  ,11 ,2805312,4      ,0 ,3101657,98420  ,29
229afeeb24fa0a98b5f609b5a4f23ed9,TCP     ,30201,24218,1    ,699,12 ,1  ,8508215,442524 ,15,1068769,0      ,5
2322ee3d829d6d5d3bd98c694a564924,TCP     ,21572,18449,1    ,994,1  ,1  ,8406003,513542 ,36,986187 ,0      ,4
233c499813255c56f48412527c597520,TCP     ,6176 ,5889 ,1    ,959,10 ,1  ,0      ,0      ,0 ,0      ,0      ,0
24ef523add9c0f81ef6eaa4acbe7e8fa,TCP     ,14256,12802,1    ,399,543,1  ,7174917,346926 ,17,888886 ,0      ,2
25dfa5bdefd51d26c18f8a184ddd1956,TCP     ,5905 ,5621 ,1    ,992,1  ,1  ,7844214,434253 ,18,929921 ,0      ,7
25f946c0727f84b2f0772cbe1425e0f4,TCP     ,24730,20552,1    ,851,87 ,1  ,8368135,361056 ,18,1072710,318    ,1
26d9ccb748258b7ffced4190fdaf32ad,UDP     ,84   ,1    ,84   ,84 ,1  ,84 ,2193274,16     ,0 ,3135250,0      ,11
28e6e65b854158d6721d0151943c148f,TCP     ,6588 ,6274 ,1    ,893,26 ,1  ,8430021,381343 ,27,1180621,0      ,1
2a515a5447e0770c541eb28115b7b968,TCP     ,13069,11830,1    ,432,28 ,1  ,8421903,412477 ,16,1010671,0      ,0
2aea4762adb27fef7e85e8db571ed5cd,TCP     ,7121 ,6741 ,1    ,826,1  ,1  ,8762710,512210 ,33,1046844,0      ,2
2bf238448118adaa7dc3695830b084af,UDP     ,24   ,1    ,292  ,24 ,1  ,292,996640 ,91     ,0 ,3135175,0      ,23
2cfc6e2d2b3f746f290fa07cd5f00a36,TCP     ,1779 ,1999 ,1    ,944,45 ,1  ,8097449,757293 ,61,1233920,21974  ,2
2e72ed77eef73c62fc85c49a13a09b20,TCP     ,8026 ,7507 ,1    ,766,177,1  ,8515480,414556 ,32,1082748,0      ,2
2ea180355c6612d69993431075783e86,UDP     ,6    ,1    ,135  ,6  ,1  ,135,1170727,48     ,0 ,3135216,0      ,10
2ea750d2b68231e4ad9879b07826bc45,TCP     ,10991,10128,1    ,167,823,1  ,8383101,495725 ,36,958012 ,736    ,2
327c4fea908ad500186f3b281ffd9c85,UDP     ,18   ,1    ,800  ,18 ,1  ,800,0      ,0      ,0 ,0      ,0      ,0
3301b2c6bccac62779ec816a372e8641,UDP     ,11   ,1    ,11   ,11 ,1  ,11 ,2593852,0      ,0 ,3086755,50362  ,16
33ae09c9c41578df56377e981ba2b9b0,TCP     ,11893,10867,1    ,525,54 ,1  ,8718020,379604 ,39,1128458,0      ,7
33bd295fd9249d26cd64cabb2a38b01b,UDP     ,2    ,1    ,78   ,2  ,1  ,78 ,1548751,48     ,0 ,3135218,0      ,25
342c8dc47de54c7a8227912526dffb79,TCP     ,1899 ,2039 ,1    ,973,14 ,1  ,8280215,768830 ,43,1256339,11529  ,0
3523f48841358c9b44211cf5a121fea3,TCP     ,66295,41785,1    ,382,1  ,1  ,5875543,804555 ,20,248129 ,0      ,1
354c40642f97b7fbabaf3a173ec44262,UDP     ,6    ,1    ,6    ,6  ,1  ,6  ,2889901,3      ,0 ,3135263,0      ,18
3669b53dd11909bb8b5f853c82910fd1,TCP     ,31653,25074,1    ,616,39 ,1  ,7432997,382981 ,14,945245 ,498    ,1
369908ecd451ad538aeafb9b595e09eb,TCP     ,12046,10974,1    ,148,719,1  ,8820237,533548 ,25,1025422,0      ,1
3706b4fd3c92194e6116cb0f40e6c93b,TCP     ,5896 ,5635 ,1    ,977,17 ,1  ,8333299,344773 ,17,1077923,0      ,3
380b2fa846c7b041de49fd565bc4b231,UDP     ,11   ,1    ,11   ,11 ,1  ,11 ,3123490,0      ,0 ,2296626,0      ,14
38aa4663e153972e6b63317631dfbb7f,TCP     ,15636,13922,1    ,359,459,1  ,8402289,405609 ,10,1039691,0      ,2
3b79981e8f1f92219add8c943c77d007,UDP     ,12   ,1    ,275  ,12 ,1  ,275,1685173,820    ,0 ,3134446,0      ,9
3dac5ef83a9e34371bd7c3c0733cd36b,TCP     ,6952 ,6580 ,1    ,879,10 ,1  ,0      ,0      ,0 ,0      ,0      ,0
3e04da1987736f143f2a69ca98ac95cc,UDP     ,11   ,1    ,178  ,11 ,1  ,178,1551360,39     ,0 ,3135227,0      ,14
402db11d6885de5d2c0fed4982321120,TCP     ,14714,13166,1    ,373,467,1  ,8866638,428632 ,11,1090175,627    ,1
41f6d916c442e0541cbf0da832cff54a,TCP     ,6719 ,6397 ,1    ,877,10 ,1  ,0      ,0      ,0 ,0      ,0      ,0
424ffcf42e438f67894582d8cef6dd4e,UDP     ,7    ,1    ,7    ,7  ,1  ,7  ,3167936,8      ,0 ,2746468,0      ,19
42c3016683437deb382d8fdabd438d14,TCP     ,33746,26332,1    ,640,22 ,1  ,8714759,435735 ,16,1095352,0      ,1
4438d16f17dbe7e31d69305dd7892080,UDP     ,7    ,1    ,7    ,7  ,1  ,7  ,3039220,4      ,0 ,2541523,0      ,15
44d4d7003771cd49b724bbbff150fb06,UDP     ,6    ,1    ,6    ,6  ,1  ,6  ,3813636,4      ,0 ,1667684,0      ,30
45cb858201114ef20e94ce24ba917d8d,UDP     ,8    ,1    ,8    ,8  ,1  ,8  ,2856419,4      ,0 ,3105676,0      ,1
475db014220dd39dc0dab8ccfc74c613,TCP     ,16631,14700,1    ,367,302,1  ,8737915,426206 ,14,1084067,0      ,1
48c48a867ca52d948973303bc721b39f,UDP     ,1099 ,13   ,1    ,968,13 ,1  ,2394974,4      ,0 ,3055920,33278  ,15
49a83253667d7f3ae8d59f195fc01a93,TCP     ,6710 ,6392 ,1    ,874,25 ,1  ,8811226,417400 ,31,1075617,0      ,7
4d3c20881eb221dfdecab6e910af2512,TCP     ,12899,11736,1    ,152,623,1  ,8774495,530797 ,43,1011898,0      ,1
4e1067343d6f34f8a3729d54382034a3,TCP     ,13172,11952,1    ,146,625,1  ,8796207,532750 ,40,1024039,0      ,3
4ec7852e4c729d611323013f1afe775b,TCP     ,1784 ,2004 ,1    ,948,45 ,1  ,6187968,581447 ,27,947603 ,13329  ,3
503ea47c2b9f49dd62a2b80637a2256e,TCP     ,21741,18455,1    ,272,121,1  ,8124480,419685 ,19,1041958,0      ,1
524daa91009bad8692f7770dc61beb72,UDP     ,16   ,1    ,282  ,16 ,1  ,282,1981401,82     ,0 ,3135184,0      ,48
53a2d63780a514261970a776520c571c,UDP     ,5    ,1    ,71   ,5  ,1  ,71 ,2845465,4403   ,0 ,2822435,0      ,20
54b4ae9dbe1d21ecb25ce06b431ce719,TCP     ,5657 ,5425 ,1    ,955,10 ,1  ,0      ,0      ,0 ,0      ,0      ,0
54d639d921ceef8060eb804a5672749b,UDP     ,4    ,1    ,122  ,4  ,1  ,122,3746769,31     ,0 ,3135234,0      ,4
55e711623f86622365194f1ee1fb9a7e,UDP     ,3    ,1    ,51   ,3  ,1  ,51 ,1876041,12     ,0 ,3135254,0      ,44
565f16c101f6e26f25cbdc0f0258e04b,UDP     ,12   ,1    ,310  ,12 ,1  ,310,1255415,6828   ,0 ,3128438,0      ,50
5745d17a8591ba66f264c19a9aa00320,UDP     ,6    ,1    ,225  ,6  ,1  ,225,3920163,107    ,0 ,3132185,0      ,33
5749449ca122e8a203a530586a1f28f2,UDP     ,23   ,1    ,23   ,23 ,1  ,23 ,2960225,8      ,0 ,2854943,0      ,29
58c00bfa1a7cdeed42dec16b50b7a299,UDP     ,3    ,1    ,112  ,3  ,1  ,112,3772111,31     ,0 ,3135235,0      ,18
58fcb1f95687371795ab9dff690ba969,TCP     ,31284,24788,1    ,662,39 ,1  ,8059939,407408 ,23,1003206,266    ,0
59e410269c9f81d926f9de2343e6aa62,TCP     ,7031 ,6662 ,1    ,817,1  ,1  ,8309469,498605 ,24,959971 ,0      ,1
5aa0246c05de3435cdd12603753fecb4,TCP     ,13595,12237,1    ,400,542,1  ,8734695,443553 ,9 ,1123769,668    ,0
5bdf5fc1273bda23ccaff90e5cffb40f,UDP     ,13   ,1    ,191  ,13 ,1  ,191,1250225,48     ,0 ,3135218,0      ,21
5c8e952b86c6f58a0635dd4a5bcd46e6,UDP     ,14   ,1    ,181  ,14 ,1  ,181,1917962,91     ,0 ,3135175,0      ,9
5cc22060a7e9457ee619db0c95efeadd,UDP     ,3    ,1    ,90   ,3  ,1  ,90 ,2138376,24     ,0 ,3091926,0      ,16
5d3064fec54e8e50c1eee178329cbed3,UDP     ,12   ,1    ,12   ,12 ,1  ,12 ,3003422,4      ,0 ,3090521,0      ,10
5db6ca9c77777d22f9efc0ba14d37993,TCP     ,15294,13606,1    ,348,433,1  ,8763314,425044 ,7 ,1067775,565    ,0
5e4a76b0128f0991638e03b3b0d7ce4d,TCP     ,33515,26157,1    ,660,12 ,1  ,8823542,443848 ,20,1070798,253    ,0
60db4bacc978b34e89ac9c58e8969957,TCP     ,16958,14956,1    ,322,348,1  ,8421674,416910 ,18,1068528,0      ,0
6174c4036ef81a53042d275341463199,TCP     ,2156 ,2350 ,1    ,940,46 ,1  ,8180850,107907 ,0 ,1889902,10739  ,18
6297de9c19ce35bb4738bd3687512a9a,UDP     ,6    ,1    ,95   ,6  ,1  ,95 ,1124669,27     ,0 ,3135239,0      ,9
64be1c0b77483f14abbbdbb76d5ec305,TCP     ,14210,12781,1    ,390,567,1  ,8644955,417928 ,19,1066865,0      ,2
6580a0015f03e7d63b56b7e2ca62908c,TCP     ,5048 ,4863 ,1    ,291,504,1  ,8748507,494998 ,21,969767 ,0      ,1
65be65eff3db76438f48cab4c215ca37,TCP     ,23   ,1    ,1    ,23 ,1  ,1  ,6096437,9913   ,0 ,903692 ,31226  ,20
68387e4ccd91c2f0a78bd8050165b33a,UDP     ,2    ,1    ,63   ,2  ,1  ,63 ,1399502,16     ,0 ,3135250,13203  ,35
68a4dfd6ab5867239540d9492e83936b,TCP     ,1782 ,2010 ,1    ,945,45 ,1  ,7995203,53310  ,8 ,1911724,12490  ,6
6a0d938f9c5df9d0888ccdb002ea142b,TCP     ,26114,21571,1    ,817,75 ,1  ,8521959,428319 ,22,1076813,0      ,0
6b443b1d79fc5ad00f9eaa65e08b5ae8,UDP     ,12   ,1    ,414  ,12 ,1  ,414,0      ,0      ,0 ,0      ,0      ,0
6c2b6b2d4e7fe0dedba454f8f999ab2d,TCP     ,34134,26572,1    ,584,1  ,1  ,8591890,519163 ,31,990725 ,0      ,1
6c94d9829f082c1d8174d6086d840667,UDP     ,16   ,1    ,434  ,16 ,1  ,434,0      ,0      ,0 ,0      ,0      ,0
6cd82763f267059c349a88f60e7d51d4,TCP     ,12397,11321,1    ,151,706,1  ,8431890,499883 ,8 ,948626 ,0      ,0
6e6319ae3c09a76f30317daf2361129a,TCP     ,9443 ,8792 ,1    ,656,87 ,1  ,8643624,426794 ,19,1092844,0      ,4
6e95b0eeb0038092b2c095d65bf0c7ee,TCP     ,15753,14013,1    ,368,402,1  ,8694322,425346 ,20,1088691,0      ,0
6ef82db6cb2b4f04fd0c4bb6785045fc,TCP     ,6466 ,6167 ,1    ,933,25 ,1  ,8670011,418003 ,15,1105179,1290   ,0
72666503ae7af37518dbba7c85c80418,UDP     ,6    ,1    ,120  ,6  ,1  ,120,3384788,36     ,0 ,3135230,0      ,42
730279c40f615bb3d6957a6182043425,UDP     ,8    ,1    ,199  ,8  ,1  ,199,1755909,6849   ,0 ,3128417,0      ,27
7369c084ba677414c62078391642dbdb,TCP     ,5695 ,5485 ,1    ,253,419,1  ,7699901,441786 ,39,854943 ,0      ,0
73aad2822ec235e23082e2b5a2d8655d,TCP     ,13272,11992,1    ,145,623,1  ,8257814,504876 ,10,975314 ,0      ,0
74c05a70914089e0dc3c39f4c4648aac,UDP     ,18   ,1    ,544  ,18 ,1  ,544,0      ,0      ,0 ,0      ,0      ,0
75954540322b27440ec08f7fa1d8cf07,TCP     ,24   ,1    ,1    ,24 ,1  ,1  ,9076469,14760  ,0 ,1404585,35619  ,14
76a5e6214eda4d214898ca5f3962922a,TCP     ,8580 ,8044 ,1    ,674,146,1  ,8397694,417316 ,27,1064330,0      ,5
76c6ee3ef0095563819379d7860f026f,TCP     ,7293 ,6901 ,1    ,839,1  ,1  ,8307610,497234 ,21,964288 ,0      ,2
773585c60c206e9a98146943e4fa70d7,TCP     ,12926,11767,1    ,165,672,1  ,8501517,507830 ,29,980628 ,0      ,1
778ac1da549ca9ed8a8f7b253cb8ede1,UDP     ,4    ,1    ,94   ,4  ,1  ,94 ,941318 ,32     ,0 ,3135234,8716   ,16
78bb5e4a381096b9e4d9c2fad4667c86,TCP     ,11198,10291,1    ,487,53 ,1  ,8169425,401667 ,26,1019768,0      ,3
79941bc51f9879472fd484ce5542e554,TCP     ,19272,16727,1    ,329,259,1  ,7168750,368513 ,16,932308 ,0      ,1
7a692d24819c8ec6ddc4e17b6eeff455,UDP     ,13   ,1    ,13   ,13 ,1  ,13 ,2926809,0      ,0 ,2292363,0      ,16
7ad76e2a6a959ed4b06f02ec51dcf566,UDP     ,16   ,1    ,144  ,16 ,1  ,144,1278474,160    ,0 ,3135106,0      ,23
