name                            ,protocol,src_ips,src_ports,dst_ports,TP     ,FP,UP,TN     ,FN     ,UN
7c48b9dc3286acde9c1419cd07be1c7d,UDP     ,6      ,1        ,137      ,1704151,0 ,0 ,1244171,0      ,14
7c909649f4ec0dd3a88867641bacd056,TCP     ,3425   ,19       ,1        ,0      ,0 ,0 ,0      ,0      ,0
7f2b2ef41a396bbd0269a4801fd84274,UDP     ,37     ,1        ,37       ,3364751,0 ,0 ,1244171,0      ,26
7fc0cd836b1f8b32bae78b6cd7cacf46,TCP     ,1906   ,2047     ,1        ,0      ,0 ,0 ,0      ,0      ,0
7ff63ada8c94b8d6064aa26f7e9efbac,UDP     ,15     ,1        ,172      ,1659442,0 ,0 ,1244171,8970   ,24
8300a94be92bd2f0ecf489eee728b626,UDP     ,5      ,1        ,132      ,2797929,0 ,0 ,1244171,5381   ,16
83612b86275de6b6d624f04e310fb903,UDP     ,18     ,1        ,18       ,4705392,0 ,0 ,845974 ,0      ,7
86bf22271e530d57313cc3c4d2e73c9d,UDP     ,16     ,1        ,401      ,0      ,0 ,0 ,0      ,0      ,0
8c57fb5e3a653289624f17abb8dcaac4,TCP     ,1718   ,1698     ,1        ,0      ,0 ,0 ,0      ,0      ,0
8e4c9e0a6e37b2eb954a868db67b6b4d,UDP     ,7      ,1        ,241      ,2465977,0 ,0 ,1244171,0      ,60
8eb33ec7f4540411cca40d5240dc1487,UDP     ,41     ,8        ,1        ,1978593,0 ,0 ,1244171,0      ,35
9138ab0055963f033fd015cea2ef1bc6,UDP     ,8      ,1        ,280      ,1769026,0 ,0 ,1244171,0      ,21
915c470676ed79290c9f021114647421,TCP     ,2      ,1        ,1        ,9212670,0 ,0 ,569631 ,27202  ,22
921a0d65f7cb7b321862f7787d4986d6,UDP     ,13     ,1        ,13       ,3121798,0 ,0 ,619832 ,0      ,17
948922a24621857f60ff55f0b92d225f,UDP     ,8      ,1        ,8        ,3608712,0 ,0 ,910439 ,416884 ,15
