name                            ,protocol,OI   ,OS   ,OD   ,I  ,S  ,D  ,TP     ,FP    ,UP,TN     ,FN     ,UN
41f6d916c442e0541cbf0da832cff54a,TCP     ,6719 ,6397 ,1    ,877,10 ,1  ,0      ,0     ,0 ,0      ,0      ,0
424ffcf42e438f67894582d8cef6dd4e,UDP     ,7    ,1    ,7    ,7  ,1  ,7  ,3005474,0     ,0 ,2606189,0      ,5
42c3016683437deb382d8fdabd438d14,TCP     ,33746,26332,1    ,640,22 ,1  ,8420927,11800 ,0 ,1450777,1001   ,4
4438d16f17dbe7e31d69305dd7892080,UDP     ,7    ,1    ,7    ,7  ,1  ,7  ,2835521,0     ,0 ,2372502,0      ,20
44d4d7003771cd49b724bbbff150fb06,UDP     ,6    ,1    ,6    ,6  ,1  ,6  ,3802328,0     ,0 ,1657787,0      ,26
45cb858201114ef20e94ce24ba917d8d,UDP     ,8    ,1    ,8    ,8  ,1  ,8  ,2479186,0     ,0 ,2683425,0      ,17
475db014220dd39dc0dab8ccfc74c613,TCP     ,16631,14700,1    ,367,302,1  ,8816155,13542 ,0 ,1557115,0      ,2
48c48a867ca52d948973303bc721b39f,UDP     ,1099 ,13   ,1    ,968,13 ,1  ,2392370,0     ,0 ,3058988,37862  ,18
49a83253667d7f3ae8d59f195fc01a93,TCP     ,6710 ,6392 ,1    ,874,25 ,1  ,8371441,11877 ,0 ,1448305,1277   ,20
4d3c20881eb221dfdecab6e910af2512,TCP     ,12899,11736,1    ,152,623,1  ,8594402,13132 ,0 ,1462562,0      ,6
4e1067343d6f34f8a3729d54382034a3,TCP     ,13172,11952,1    ,146,625,1  ,7048156,11156 ,6 ,1237143,0      ,10
4ec7852e4c729d611323013f1afe775b,TCP     ,1784 ,2004 ,1    ,948,45 ,1  ,6732112,27784 ,0 ,1957534,1334607,49
503ea47c2b9f49dd62a2b80637a2256e,TCP     ,21741,18455,1    ,272,121,1  ,6010502,9298  ,0 ,1051669,269    ,9
524daa91009bad8692f7770dc61beb72,UDP     ,16   ,1    ,282  ,16 ,1  ,282,1981401,0     ,0 ,3135266,0      ,9
53a2d63780a514261970a776520c571c,UDP     ,5    ,1    ,71   ,5  ,1  ,71 ,3117774,0     ,0 ,3097323,0      ,17
54b4ae9dbe1d21ecb25ce06b431ce719,TCP     ,5657 ,5425 ,1    ,955,10 ,1  ,0      ,0     ,0 ,0      ,0      ,0
54d639d921ceef8060eb804a5672749b,UDP     ,4    ,1    ,122  ,4  ,1  ,122,3672596,0     ,0 ,3064279,0      ,3
55e711623f86622365194f1ee1fb9a7e,UDP     ,3    ,1    ,51   ,3  ,1  ,51 ,1876041,0     ,0 ,3135266,0      ,10
565f16c101f6e26f25cbdc0f0258e04b,UDP     ,12   ,1    ,310  ,12 ,1  ,310,1255415,0     ,0 ,3135266,0      ,15
