name                            ,protocol,src_ips,src_ports,dst_ports,TP     ,FP,UP,TN    ,FN     ,UN
83612b86275de6b6d624f04e310fb903,UDP     ,18     ,1        ,18       ,1652044,0 ,0 ,295998,0      ,2
86bf22271e530d57313cc3c4d2e73c9d,UDP     ,16     ,1        ,401      ,767432 ,0 ,0 ,493107,0      ,2
8c57fb5e3a653289624f17abb8dcaac4,TCP     ,1718   ,1698     ,1        ,0      ,0 ,0 ,0     ,0      ,0
8e4c9e0a6e37b2eb954a868db67b6b4d,UDP     ,7      ,1        ,241      ,982316 ,0 ,0 ,493107,4076   ,43
8eb33ec7f4540411cca40d5240dc1487,UDP     ,41     ,8        ,1        ,265251 ,0 ,0 ,493107,521177 ,2
9138ab0055963f033fd015cea2ef1bc6,UDP     ,8      ,1        ,280      ,705548 ,0 ,0 ,493107,2063   ,3
915c470676ed79290c9f021114647421,TCP     ,2      ,1        ,1        ,2474122,0 ,0 ,143892,7387   ,5
921a0d65f7cb7b321862f7787d4986d6,UDP     ,13     ,1        ,13       ,1305293,0 ,0 ,208807,0      ,2
948922a24621857f60ff55f0b92d225f,UDP     ,8      ,1        ,8        ,1359692,0 ,0 ,344278,156804 ,3
95120088fead57b6620bba06ee0ba5ca,UDP     ,5      ,1        ,170      ,853516 ,0 ,0 ,493107,0      ,13
955a5cd15843aa5c4155fd3f69651e15,TCP     ,2      ,1        ,1        ,2435832,0 ,0 ,125737,15049  ,3
956b0d4feeafbdb4d125effbaec29cfd,TCP     ,1906   ,2047     ,1        ,0      ,0 ,0 ,0     ,0      ,0
967a3709db351926be99ddc0f7d4697a,UDP     ,11     ,1        ,239      ,953422 ,0 ,0 ,493107,0      ,3
968117c31b16d683deae5f5ec641c88f,TCP     ,212    ,8538     ,1        ,0      ,0 ,0 ,0     ,0      ,0
97fd9c08bd2d121abbe4d9d7e85a9fab,UDP     ,7      ,1        ,7        ,1614170,0 ,0 ,414006,281560 ,3
983d0d3be373f51f249d1c0144c552ed,UDP     ,1099   ,9        ,1        ,0      ,0 ,0 ,0     ,0      ,0
9ae4af2b74c64e5243e5ef791c9894ff,UDP     ,14     ,1        ,488      ,928401 ,0 ,0 ,493107,64533  ,4
9b5987a259eab74e3a70189fc22ed529,TCP     ,1811   ,1788     ,1        ,0      ,0 ,0 ,0     ,0      ,0
9b87222053c383934c1347e45f383701,UDP     ,18     ,1        ,327      ,978875 ,0 ,0 ,493107,8247   ,7
9c436570b69e98e36fcff55f51b7db02,UDP     ,35     ,1        ,35       ,1750249,0 ,0 ,407864,0      ,1
9f2d134c9d1f77d377420946b382ca9c,UDP     ,15     ,1        ,336      ,596059 ,0 ,0 ,493107,1769   ,2
a0b8ad7dad118fc46736b8d52a6e9c60,TCP     ,2463   ,2425     ,1        ,0      ,0 ,0 ,0     ,0      ,0
a3644f57a18ccb958a3d64f96e943828,UDP     ,10     ,1        ,302      ,692995 ,0 ,0 ,493107,4559   ,7
a3bbaba745fbded23fc3217df906cff5,UDP     ,6      ,1        ,101      ,1006375,0 ,0 ,493107,0      ,3
